"","stim","oldr","newr","miss"
"1","p10sarr1.png",3,102,0
"2","p10sarr2.png",6,93,6
"3","p1sarr1.png",14,84,7
"4","p1sarr2.png",6,96,3
"5","p1sarrcol1.png",1,101,3
"6","p1sarrcol2.png",6,97,2
"7","p1sarrsha1.png",28,63,14
"8","p1sarrsha2.png",15,87,3
"9","p1sarrshacol1.png",1,99,5
"10","p1sarrshacol2.png",20,72,13
"11","p2sarr1.png",6,88,11
"12","p2sarr2.png",27,65,13
"13","p2sarrcol1.png",10,94,1
"14","p2sarrcol2.png",18,78,9
"15","p2sarrsha1.png",44,49,12
"16","p2sarrsha2.png",5,94,6
"17","p2sarrshacol1.png",8,95,2
"18","p2sarrshacol2.png",13,86,6
"19","p3sarr1.png",7,94,4
"20","p3sarr2.png",6,94,5
"21","p3sarrcol1.png",29,60,16
"22","p3sarrcol2.png",27,61,17
"23","p3sarrsha1.png",17,73,15
"24","p3sarrsha2.png",3,100,2
"25","p3sarrshacol1.png",23,65,17
"26","p3sarrshacol2.png",8,92,5
"27","p4sarr1.png",14,82,9
"28","p4sarr2.png",29,53,23
"29","p4sarrcol1.png",6,91,8
"30","p4sarrcol2.png",15,80,10
"31","p4sarrsha1.png",4,93,8
"32","p4sarrsha2.png",26,69,10
"33","p4sarrshacol1.png",9,90,6
"34","p4sarrshacol2.png",8,96,1
"35","p5sarr1.png",26,69,10
"36","p5sarr2.png",5,92,8
"37","p5sarrcol1.png",18,75,12
"38","p5sarrcol2.png",18,80,7
"39","p5sarrsha1.png",28,55,22
"40","p5sarrsha2.png",32,41,32
"41","p5sarrshacol1.png",21,66,18
"42","p5sarrshacol2.png",26,58,21
"43","p6sarr1.png",4,60,41
"44","p6sarr2.png",6,98,1
"45","p7sarr1.png",0,103,2
"46","p7sarr2.png",6,96,3
"47","p8sarr1.png",20,73,12
"48","p8sarr2.png",3,98,4
"49","p9sarr1.png",11,86,8
"50","p9sarr2.png",0,96,9
"51","prototype1.png",414,85,26
"52","prototype2.png",319,146,60
"53","prototype3.png",315,150,60
"54","prototype4.png",380,91,54
"55","prototype5.png",301,177,47
